,x4,y4,z4,IncomeGroup
0,193.1356406,-8.004023779,-6.210937666,1
1,82.01280538,16.24578838,30.63546657,2
2,-2.11E-15,1.20E-17,-6.20E-17,3
3,-137.9041414,-3.264375551,-14.4448932,4
4,-46.04786581,22.3137431,2.371334542,3
5,35.35426477,-17.07572709,0.544630286,2
6,-172.4021527,-11.68485345,-2.805302637,4
7,-151.0905671,5.646126109,-16.2382691,4
8,101.2033282,-59.57613241,3.555432691,3
9,68.67068652,-33.82634541,-10.27471068,1
10,-203.3701995,6.871982645,4.699538996,4
11,72.12975383,-32.38102588,6.203308619,1
12,45.98691151,11.60553152,-6.323335537,1
13,73.06059689,41.97034916,33.69723856,2
14,-78.49323472,19.89139313,21.23016711,3
15,-62.35986523,-57.61570573,-10.03125944,4
16,-33.33877523,-25.87670164,3.654076953,4
17,15.87318823,25.74490832,5.343956017,3
18,46.95615275,-11.1468729,9.187673692,3
19,97.39871082,-10.80108233,-27.83688446,2
20,-36.79788551,22.29982487,-12.89913267,3
21,-2.11E-15,1.20E-17,-6.20E-17,4
22,148.7810345,-14.44403245,-0.401980256,2
23,96.04308587,7.420230706,-14.87643656,3
24,123.729834,-43.64291744,-29.09485571,1
25,-180.1679685,8.054206198,-8.83763164,4
26,-176.9824871,-10.50152411,-0.847504501,4
27,-99.10121542,-1.648518881,-10.16673355,4
28,-134.9075612,-0.972121851,10.23604929,3
29,14.60291836,43.10259412,18.22903643,2
30,141.1622287,35.43252936,-17.2615119,2
31,205.6513191,0.388284384,-4.110680042,1
32,188.4239992,13.5498971,2.445440555,2
33,44.36052906,-23.73706339,-1.550989493,3
34,113.7135128,-51.88001961,-3.083885692,1
35,31.94578853,15.70524744,-14.87692456,3
36,177.3258142,-14.40413695,22.89016526,3
37,-53.00887022,-9.306397404,0.361007442,4
38,-136.0706909,-3.54763875,16.38712881,4
39,-210.4780457,-0.737974738,-1.078159587,4
40,175.6304641,1.727321491,-14.61481986,2
41,-172.2536864,1.913418091,10.02734353,4
42,-21.56155083,2.80248753,1.614617406,3
43,41.60102095,-20.72583067,-23.79579374,3
44,23.67034484,8.833010406,9.53289453,3
45,-41.09798724,-22.62230176,-17.77703347,2
46,180.7748649,23.14824235,-9.617921185,1
47,-164.8217653,0.700191031,-1.660104566,4
48,-112.1648944,-18.33609816,3.070392493,4
49,64.74398946,26.48343582,-16.83126333,1
50,-148.258023,-22.68170492,2.853834572,4
51,77.00018954,-4.298826717,19.8615882,3
52,-181.100051,3.038341317,7.576029329,4
53,166.7626073,-13.63443291,29.580205,3
54,-199.5286296,0.029078166,-5.370715968,4
55,87.65295243,31.89537329,-21.74217213,2
56,51.79606643,9.052828591,10.73391638,2
57,107.0939201,25.83238446,-1.837370529,1
58,159.613793,-11.90039344,39.03714378,1
59,115.1536501,-24.77956368,-24.53261472,1
60,132.8909227,13.11578298,-24.57813813,3
61,-88.41217518,-19.23021455,-17.32518628,4
62,-3.418900585,-4.790340166,4.178694896,2
63,104.4036555,-23.20365607,-11.62589488,3
64,-176.2124154,-0.230027318,1.061802548,4
65,57.62223567,-33.27685383,12.2822207,2
66,-62.65558519,-8.196209091,-4.992366648,3
67,160.7980114,-3.94265102,-3.321038101,1
68,-129.1372773,24.28286557,2.921608431,4
69,-66.99989559,5.727463578,-19.95862703,2
70,-69.09644136,8.301290027,12.50485798,2
71,-180.2345225,2.380306307,-14.68651915,4
72,-2.11E-15,1.20E-17,-6.20E-17,3
73,150.8811195,20.7502797,1.293855783,3
74,-114.8082203,-19.31674846,-15.1475091,4
75,-93.02920347,27.55887918,-49.63548715,4
76,-160.6422023,5.497440756,5.109154738,4
77,-13.39996226,-24.13950576,-11.34836191,3
78,-23.20788256,8.310368923,9.446323572,2
79,-185.6200936,3.557489294,-6.754169167,4
80,32.36451436,41.1750389,-3.565362074,3
81,3.450420925,75.34665417,45.18449598,2
82,173.5389216,-9.104710285,17.801761,2
83,13.90440611,-38.11625892,2.378950786,2
84,-154.2512616,-2.388796527,-5.008494654,4
85,-52.71088309,7.567689022,-28.11125705,4
86,125.0822594,-29.71470031,3.736892522,2
87,26.44076549,24.20289689,-30.75250604,3
88,51.20087943,-44.04677616,-24.24931485,1
89,91.90466452,5.318608294,-28.29828722,3
90,33.22941633,11.75112453,-26.85113585,2
91,128.9157787,-12.83280838,6.453334563,2
92,-87.41185862,-0.520309011,-5.80540818,4
93,-188.8410811,3.587922316,12.36983151,4
94,-120.6941351,15.2103791,4.334208496,4
95,-2.11E-15,1.20E-17,-6.20E-17,2
96,47.42962967,-24.00878185,51.89594083,2
