,x5,y5,z5,IncomeGroup
0,-165.9298036,-8.000441528,-18.83765823,1
1,-148.0543432,-8.763314872,14.18598064,2
2,-100.5953879,-30.19895248,-16.20277207,3
3,178.5276301,4.045819694,-7.003773952,4
4,40.57513411,-5.521845012,21.32916505,3
5,-158.7801966,6.241527454,17.41532161,2
6,163.6663993,0.896881966,3.146347102,4
7,195.4509237,-7.021567583,3.828338544,4
8,3.39E-15,2.38E-16,-6.94E-17,3
9,-76.06062526,-65.38886395,8.840324884,1
10,197.7158581,-9.477112553,-2.313554458,4
11,-93.80964575,9.312910062,11.37117398,1
12,-7.286560169,11.87585055,6.079861666,1
13,-22.49507583,15.59016795,-4.972740543,2
14,8.282809168,-29.04744152,-1.419410473,3
15,99.73842639,2.966306319,-3.317560572,4
16,-0.081441396,25.94181805,0.406642201,4
17,-44.25163862,38.97672848,17.6902992,3
18,-104.8601976,-33.74653124,-16.79305357,3
19,-142.5866011,-19.82122925,-2.010593329,2
20,63.24819438,8.075195908,19.68139227,3
21,23.5120344,16.30332939,-15.95827254,4
22,-133.2382405,-14.70961746,-24.53353637,2
23,55.32404664,4.565004914,-2.600333341,3
24,3.39E-15,2.38E-16,-6.94E-17,1
25,175.5306157,16.22087502,5.941688141,4
26,185.1082199,5.950644069,1.512835328,4
27,92.2634446,-6.071423466,-17.32745386,4
28,147.2905702,-0.296976097,-4.708441118,3
29,-38.51079769,36.67894245,-3.755461801,2
30,-160.2131018,23.66785555,14.79651662,2
31,-118.3568608,-22.64773838,-3.256411351,1
32,-110.1604364,21.1340297,36.28289514,2
33,-43.12750307,-27.80223347,27.56343573,3
34,-46.90608824,25.21513633,-13.76168587,1
35,-34.73086032,-21.35192366,-5.390587997,3
36,-122.4057323,33.88546052,0.95873199,3
37,44.55852728,12.28226596,-4.641499228,4
38,149.6023313,-1.679963682,-12.6701991,4
39,210.2068055,2.660743488,3.229853758,4
40,-122.7166117,23.31627121,-19.64250403,2
41,164.9237555,7.114086112,-7.425544823,4
42,-33.38790613,-16.69230149,-4.0271771,3
43,0.292285478,-12.57708576,19.79705232,3
44,5.259310263,-4.537094975,-17.7914038,3
45,79.74047491,-9.891387524,6.37048831,2
46,-166.7589015,6.8049719,5.916614842,1
47,152.5101858,0.476288145,-1.777098014,4
48,107.7039143,-2.110269087,-1.4524091,4
49,-105.8708726,31.29953815,-41.99581543,1
50,175.0787744,9.217813143,1.570238253,4
51,-132.6183434,27.28536195,6.205090522,3
52,172.3754227,-0.433437863,2.354734582,4
53,-161.4906731,5.507241118,-3.982356685,3
54,197.0788413,4.31187499,1.521566143,4
55,-121.5892104,-2.965556162,-4.266277952,2
56,-27.08670823,-3.031021156,-2.500916162,2
57,-111.9377441,0.586738237,-4.282724076,1
58,3.39E-15,2.38E-16,-6.94E-17,1
59,-113.0056044,-5.111194933,-48.58170761,1
60,-199.9340823,-3.059969654,-0.853224949,3
61,89.99982373,-6.038980788,19.57637493,4
62,-86.26124103,-1.250808391,-18.47864371,2
63,-27.13769672,-23.73842474,-6.104064776,3
64,192.9502144,0.932551817,-7.517710314,4
65,-88.29844056,-32.09695891,-13.99376929,2
66,76.2386427,10.59134113,-2.445095038,3
67,-210.4346349,0.219749668,0.212024947,1
68,118.2706746,-6.330120983,7.540142608,4
69,45.20644537,-9.992092974,6.498188175,2
70,117.8228059,2.559578046,3.568494465,2
71,162.5917583,-1.001007758,-4.198001353,4
72,-42.95394899,16.69617382,15.84725843,3
73,-169.9796989,-8.174053299,-14.46907215,3
74,105.8720316,-11.3018656,-2.795521952,4
75,146.1333998,-6.720331404,2.363350378,4
76,159.7371203,-2.245460284,1.807570759,4
77,-106.688904,13.8905999,-9.234306489,3
78,40.89736995,-8.966534336,3.77101698,2
79,183.1730114,3.878521223,-0.415233254,4
80,-1.174405032,10.16999337,10.24662874,3
81,103.1590484,4.274605254,1.272364101,2
82,-164.9232834,-24.54085834,13.10561333,2
83,6.873666272,-17.71796228,-29.33469321,2
84,151.3178176,1.523761158,4.256829206,4
85,74.55712796,-7.235669003,-20.63851897,4
86,-182.9800488,-15.15431144,1.070502418,2
87,-12.30107909,28.56163647,-16.24004072,3
88,-158.1072507,-7.044573271,-2.479588396,1
89,-136.7707172,-26.96426064,6.893045941,3
90,3.39E-15,2.38E-16,-6.94E-17,2
91,-186.1304243,0.961786262,8.974530195,2
92,143.3860298,-4.860762841,2.222096463,4
93,203.8183124,-3.465340337,-1.719691045,4
94,101.3013387,2.878896367,4.359795696,4
95,-33.28842207,-24.47584972,-7.100331103,2
96,-37.31682227,-12.17462269,-0.537014748,2
97,-163.358406,30.46183268,-10.60068161,1
98,-68.45241667,21.82331146,25.02970531,3
99,68.21924394,5.615254189,4.866247678,3
100,-75.23948859,-2.077968618,25.99576063,3
101,-73.42449383,9.091394578,-7.099443533,1
102,63.37992457,-4.364277415,-0.505682879,4
103,-84.03513334,15.63385967,14.47468086,2
104,-113.8320398,-10.11382936,-19.23980371,3
105,-82.34167825,-31.96864471,-12.68264924,2
106,-26.1139986,-16.62163881,-36.05842333,1
107,-195.2932869,13.73683282,-15.71707779,2
108,3.39E-15,2.38E-16,-6.94E-17,3
109,3.39E-15,2.38E-16,-6.94E-17,1
110,117.8743631,5.004574785,0.741524538,3
111,-4.330374848,20.38562603,2.427059549,3
112,-57.08589167,0.877080982,-30.42577526,1
113,-32.2493051,2.198409999,18.51932994,2
114,-59.77222987,36.63813175,5.133105272,2
115,205.8830112,3.706499893,0.816868894,4
116,151.4252834,14.78248785,1.064028444,4
117,-108.3189642,-25.35344865,12.37788126,1
118,110.1578249,2.064842351,28.6259754,4
119,87.03040582,5.118516583,10.34946616,4
120,36.18059214,-8.551048733,0.815403416,2
121,106.0579193,0.600664743,-17.03509742,3
122,29.74916105,5.539790983,-5.843748322,3
123,19.47869361,-11.76946033,-10.19308316,2
124,-69.24755536,19.25514771,-9.253125798,2
125,120.0828948,-2.716518016,-7.479998389,4
126,113.9713855,-6.858075001,-5.638846257,4
127,-53.63948764,9.867568528,4.271854873,3
128,137.6217652,9.560804303,-7.405516781,4
129,47.71603802,19.38384578,-10.22887899,3
130,-51.44410382,-27.63260936,44.02491067,3
131,46.97313724,1.23479474,-14.83064656,1
132,75.81844533,-3.394683858,12.80699363,4
133,-70.54078203,-38.76909797,-5.939158837,2
134,-127.6116713,21.71968555,7.612188563,1
