,x,y,z,IncomeGroup
0,203.0413772,-2.671947336,0.754568863,1
1,31.03839911,-15.78179679,-7.513138359,2
2,133.9146899,-40.61130954,-16.85140789,3
3,-152.6402539,0.965313758,-2.091244268,4
4,-75.34593463,2.678544615,2.607774882,3
5,137.8071213,11.36205347,6.067484086,2
6,-158.2623936,-0.420677631,4.324906272,4
7,-186.897766,3.898748297,-2.198949933,4
8,89.19463244,-16.21593455,4.137398607,3
9,72.67556146,-65.23078201,-4.682229106,1
10,-168.4869406,4.89492627,-1.782898966,4
11,51.98385937,6.207562932,82.1072726,1
12,106.6624477,-33.53292435,25.592651,1
13,42.2143554,37.24817365,3.797935214,2
14,-55.54552823,18.79875569,14.64804185,3
15,-86.49483553,-47.21192492,-11.6942882,4
16,-5.16E-18,-8.09E-19,-5.75E-18,4
17,37.88124838,5.613639573,-17.76047392,3
18,16.94266337,5.389764864,-45.18443619,3
19,88.12539352,6.706577981,18.73659106,2
20,-31.11079094,-7.701369204,3.25775968,3
21,-5.16E-18,-8.09E-19,-5.75E-18,4
22,132.750933,3.787690447,16.45228147,2
23,-5.16E-18,-8.09E-19,-5.75E-18,3
24,-5.16E-18,-8.09E-19,-5.75E-18,1
25,-174.629281,-0.571270967,-0.770270556,4
26,-184.7210863,6.662001286,-7.721642733,4
27,-109.6901423,-9.613342468,-5.929406787,4
28,-118.574204,-3.931216601,4.569873289,3
29,69.96267019,33.95403404,-34.31861917,2
30,35.00135829,38.04140888,-26.80259835,2
31,-5.16E-18,-8.09E-19,-5.75E-18,1
32,-5.16E-18,-8.09E-19,-5.75E-18,2
33,28.87414579,2.637466101,28.53399078,3
34,33.70674593,-29.26414019,-0.294683268,1
35,6.810923653,-15.66423672,-13.60855405,3
36,-5.16E-18,-8.09E-19,-5.75E-18,3
37,-66.17665069,-13.63805549,-8.940462155,4
38,-97.01702058,-1.438844993,-2.550890649,4
39,-192.3880268,-1.778710012,-0.627628994,4
40,170.0973623,-4.956338552,1.304095601,2
41,-166.8888882,-4.758704746,-8.813092276,4
42,61.67610876,4.998539558,-21.91562459,3
43,149.1188909,33.73466184,14.03913055,3
44,-1.306572243,12.02132822,-3.048933301,3
45,71.65081777,20.71763537,33.62302974,2
46,100.0774117,-25.10668821,35.89986665,1
47,-134.0998057,-1.763178094,5.157875358,4
48,-70.40359935,-6.935851073,-12.21684015,4
49,87.01283514,64.23714162,-28.40997686,1
50,-162.8432385,8.815526405,2.821771636,4
51,-5.16E-18,-8.09E-19,-5.75E-18,3
52,-153.6927,-2.842804578,2.056315481,4
53,123.0900147,-32.04366362,-50.9077939,3
54,-179.8536439,0.722083473,5.261209817,4
55,-5.16E-18,-8.09E-19,-5.75E-18,2
56,123.1072715,-19.14099218,-3.885167791,2
57,-26.36440457,26.76441804,-6.665400801,1
58,22.99377016,-52.71154016,20.02006478,1
59,95.67119471,9.273021291,-22.96406285,1
60,-5.16E-18,-8.09E-19,-5.75E-18,3
