,x,y,IncomeGroup
0,-165.9298036,-8.000441528,1
1,-148.0543432,-8.763314872,2
2,-100.5953879,-30.19895248,3
3,178.5276301,4.045819694,4
4,40.57513411,-5.521845012,3
5,-158.7801966,6.241527454,2
6,163.6663993,0.896881966,4
7,195.4509237,-7.021567583,4
8,3.39E-15,2.38E-16,3
9,-76.06062526,-65.38886395,1
10,197.7158581,-9.477112553,4
11,-93.80964575,9.312910062,1
12,-7.286560169,11.87585055,1
13,-22.49507583,15.59016795,2
14,8.282809168,-29.04744152,3
15,99.73842639,2.966306319,4
16,-0.081441396,25.94181805,4
17,-44.25163862,38.97672848,3
18,-104.8601976,-33.74653124,3
19,-142.5866011,-19.82122925,2
20,63.24819438,8.075195908,3
21,23.5120344,16.30332939,4
22,-133.2382405,-14.70961746,2
23,55.32404664,4.565004914,3
24,3.39E-15,2.38E-16,1
25,175.5306157,16.22087502,4
26,185.1082199,5.950644069,4
27,92.2634446,-6.071423466,4
28,147.2905702,-0.296976097,3
29,-38.51079769,36.67894245,2
30,-160.2131018,23.66785555,2
31,-118.3568608,-22.64773838,1
32,-110.1604364,21.1340297,2
33,-43.12750307,-27.80223347,3
34,-46.90608824,25.21513633,1
35,-34.73086032,-21.35192366,3
36,-122.4057323,33.88546052,3
37,44.55852728,12.28226596,4
38,149.6023313,-1.679963682,4
39,210.2068055,2.660743488,4
40,-122.7166117,23.31627121,2
41,164.9237555,7.114086112,4
42,-33.38790613,-16.69230149,3
43,0.292285478,-12.57708576,3
44,5.259310263,-4.537094975,3
45,79.74047491,-9.891387524,2
46,-166.7589015,6.8049719,1
47,152.5101858,0.476288145,4
48,107.7039143,-2.110269087,4
49,-105.8708726,31.29953815,1
50,175.0787744,9.217813143,4
51,-132.6183434,27.28536195,3
52,172.3754227,-0.433437863,4
53,-161.4906731,5.507241118,3
54,197.0788413,4.31187499,4
55,-121.5892104,-2.965556162,2
56,-27.08670823,-3.031021156,2
57,-111.9377441,0.586738237,1
58,3.39E-15,2.38E-16,1
59,-113.0056044,-5.111194933,1
60,-199.9340823,-3.059969654,3
61,89.99982373,-6.038980788,4
62,-86.26124103,-1.250808391,2
63,-27.13769672,-23.73842474,3
64,192.9502144,0.932551817,4
65,-88.29844056,-32.09695891,2
66,76.2386427,10.59134113,3
67,-210.4346349,0.219749668,1
68,118.2706746,-6.330120983,4
69,45.20644537,-9.992092974,2
70,117.8228059,2.559578046,2
71,162.5917583,-1.001007758,4
72,-42.95394899,16.69617382,3
73,-169.9796989,-8.174053299,3
74,105.8720316,-11.3018656,4
75,146.1333998,-6.720331404,4
76,159.7371203,-2.245460284,4
77,-106.688904,13.8905999,3
78,40.89736995,-8.966534336,2
