,x,y,IncomeGroup
0,203.0413772,-2.671947336,1
1,31.03839911,-15.78179679,2
2,133.9146899,-40.61130954,3
3,-152.6402539,0.965313758,4
4,-75.34593463,2.678544616,3
5,137.8071213,11.36205347,2
6,-158.2623936,-0.420677631,4
7,-186.897766,3.898748298,4
8,89.19463244,-16.21593455,3
9,72.67556146,-65.23078201,1
10,-168.4869406,4.89492627,4
11,51.98385937,6.207562932,1
12,106.6624477,-33.53292435,1
13,42.2143554,37.24817365,2
14,-55.54552823,18.79875569,3
15,-86.49483553,-47.21192492,4
16,-5.31E-10,-1.74E-09,4
17,37.88124838,5.613639574,3
18,16.94266337,5.389764864,3
19,88.12539352,6.706577982,2
20,-31.11079094,-7.701369204,3
21,-5.31E-10,-1.74E-09,4
22,132.750933,3.787690447,2
23,-5.31E-10,-1.74E-09,3
24,-5.31E-10,-1.74E-09,1
25,-174.629281,-0.571270967,4
26,-184.7210863,6.662001286,4
27,-109.6901423,-9.613342468,4
28,-118.574204,-3.931216601,3
29,69.96267019,33.95403404,2
30,35.00135829,38.04140888,2
31,-5.31E-10,-1.74E-09,1
32,-5.31E-10,-1.74E-09,2
33,28.87414579,2.637466101,3
34,33.70674593,-29.26414019,1
35,6.810923653,-15.66423672,3
36,-5.31E-10,-1.74E-09,3
37,-66.17665069,-13.63805549,4
38,-97.01702058,-1.438844993,4
39,-192.3880268,-1.778710012,4
40,170.0973623,-4.956338552,2
41,-166.8888882,-4.758704746,4
42,61.67610876,4.998539558,3
43,149.1188909,33.73466184,3
44,-1.306572243,12.02132823,3
45,71.65081777,20.71763537,2
46,100.0774117,-25.10668821,1
47,-134.0998057,-1.763178093,4
48,-70.40359935,-6.935851073,4
49,87.01283514,64.23714162,1
50,-162.8432385,8.815526405,4
51,-5.31E-10,-1.74E-09,3
52,-153.6927,-2.842804578,4
53,123.0900147,-32.04366362,3
54,-179.8536439,0.722083473,4
55,-5.31E-10,-1.74E-09,2
56,123.1072715,-19.14099218,2
57,-26.36440457,26.76441804,1
58,22.99377016,-52.71154016,1
59,95.67119471,9.273021292,1
60,-5.31E-10,-1.74E-09,3
61,-123.7112866,17.23081571,4
62,18.06196081,20.26744166,2
63,152.2088982,12.47625833,3
64,-182.4627519,2.823458075,4
65,25.04217496,-10.21623811,2
66,-25.73519059,12.1963406,3
67,118.3059847,-11.16706128,1
68,-101.9312353,2.057851855,4
69,-79.71909241,-8.858977255,2
70,-90.84861114,-4.104294959,2
71,-170.8157007,5.992770813,4
72,20.87891306,-38.2623314,3
73,-5.31E-10,-1.74E-09,3
74,-5.31E-10,-1.74E-09,4
75,-107.1659755,-2.473799561,4
76,-139.6600477,-1.260009868,4
77,101.8062267,-7.978273918,3
78,-60.56349266,-16.72833376,2
79,-184.1019119,4.026547675,4
80,142.4332852,11.929674,3
81,22.03684327,-2.804642696,2
82,76.52476734,-1.422250715,2
83,27.86307214,14.33187707,2
84,-134.1532088,-3.061519114,4
85,-72.21048111,25.61520939,4
86,107.0557815,5.232945093,2
87,67.68310426,-15.69383513,3
88,76.92930537,-48.55449064,1
89,-5.31E-10,-1.74E-09,3
90,55.53105625,-6.803247235,2
91,81.13008463,-5.700681045,2
92,-37.62006907,9.749395235,4
93,-133.4302888,1.566326134,4
94,-81.6983858,12.67180484,4
95,59.02320757,-16.84841283,2
96,88.33815903,6.299559886,2
97,104.9018302,-7.716003297,1
98,-5.31E-10,-1.74E-09,3
99,-54.49220056,5.251720255,3
100,48.56078294,-7.613930077,3
101,91.31775731,25.65811343,1
102,-5.31E-10,-1.74E-09,4
103,178.2406627,-9.374947492,2
104,-5.31E-10,-1.74E-09,3
105,145.8385157,-22.90989981,2
106,89.61746385,2.21107897,1
107,-6.157505805,10.39005612,2
108,128.168554,-23.42069347,3
109,47.24317128,6.265495584,1
110,-131.6029698,1.178245481,3
111,124.1138744,28.7825688,3
112,156.5286225,50.22241415,1
113,58.57454537,-18.64215464,2
114,118.0312835,-7.218625422,2
115,-198.3701358,-1.493770772,4
116,-160.1604302,4.807047881,4
117,135.7578908,25.45050933,1
118,-155.0772782,-3.255244853,4
119,-59.01272212,27.85572098,4
120,-9.646063942,-17.94395461,2
121,-60.53778236,3.507580038,3
122,-37.96173932,-22.74059666,3
123,-18.3294578,1.006869086,2
124,68.61917334,33.32515482,2
125,-86.44478248,7.743524257,4
126,-123.5174351,10.04988233,4
127,9.957825224,22.36026115,3
128,-73.32515906,15.50938344,4
129,-60.95526635,-16.73467806,3
130,70.60967471,10.09144238,3
131,188.2419081,7.659992446,1
132,-83.27285226,5.556527436,4
133,-25.90641941,5.614541628,2
134,67.06934753,-17.68742271,1
135,-199.5082418,3.437447497,4
136,144.3221403,-16.73134028,2
137,170.2869238,17.13311847,1
138,-16.29157113,-3.010008458,2
139,112.097994,33.02623515,1
140,-5.31E-10,-1.74E-09,3
141,-49.26944139,-10.94446171,2
142,-66.95752667,-11.35196219,4
143,-100.3384352,-0.233491599,4
144,-191.0575236,3.523007936,4
145,147.1981867,7.255204958,2
146,167.7996326,8.97852213,1
147,96.87679971,-41.89460815,1
148,-117.6481349,3.344498779,3
149,173.0681675,-14.60950852,2
150,-5.31E-10,-1.74E-09,3
151,192.2401637,3.111614895,2
152,-5.31E-10,-1.74E-09,4
153,-28.82847152,-46.47656118,2
154,-100.7338065,-10.9253477,3
155,-146.913538,5.767491472,4
156,146.9583975,-12.20870049,1
157,33.31931677,33.27183653,1
158,10.65762519,24.06279814,2
159,20.63139298,2.192990871,4
160,-164.1772354,-0.951926795,4
161,132.9505105,12.94722159,2
162,-9.398359984,-8.471346379,3
163,-58.93489838,-11.81814085,2
164,94.49712264,4.416218993,2
165,-135.7154765,-2.763035531,3
166,73.84032401,-11.94609281,2
167,97.72968896,30.99946759,1
