,x,y,IncomeGroup
0,204.1240881,-4.493180273,1
1,192.1986503,-13.70986041,2
2,30.07664862,-38.1638067,3
3,-189.0235742,-9.656291692,4
4,-37.43909185,-22.48438827,3
5,42.80791125,10.36305782,2
6,-161.4399736,22.2022134,4
7,-197.7148991,-5.428992425,4
8,-2.74E-10,-9.55E-12,3
9,179.149823,-9.038120049,1
10,-199.6186729,-12.83718754,4
11,1.545356484,-6.565896346,1
12,41.63571865,-34.27718884,1
13,57.04232771,-2.926653878,2
14,-69.9445629,-4.535433018,3
15,-49.85095684,-5.746310758,4
16,71.61083677,35.59943355,4
17,-19.27276514,-8.31768015,3
18,56.77640304,15.46758395,3
19,127.4031399,-14.0668811,2
20,-55.69460992,-20.04436975,3
21,14.01367385,25.34777951,4
22,160.5590236,20.52344195,2
23,-2.74E-10,-9.55E-12,3
24,175.7778312,4.250244439,1
25,-160.161709,7.847464249,4
26,-182.9769985,4.866438646,4
27,-116.9948865,0.64815597,4
28,-148.1840564,-8.247720797,3
29,-77.52926957,-0.876698633,2
30,41.53342798,-9.808816519,2
31,102.9655905,14.25786961,1
32,88.95664105,-52.49239534,2
33,-46.18333288,-15.81259356,3
34,65.45416422,33.30961077,1
35,-11.43173918,4.27300628,3
36,167.0660528,-2.285975773,3
37,-87.41765997,4.396870521,4
38,-158.9447282,-16.96010298,4
39,-211.9607839,1.149316419,4
40,41.78225233,16.31908264,2
41,-192.688049,6.569715556,4
42,31.9067892,-14.13328667,3
43,94.92782325,2.048849268,3
44,-39.24139852,23.09713908,3
45,-23.40087962,-1.01030166,2
46,184.7430824,13.85165917,1
47,-171.5868173,-9.576578557,4
48,-115.4255803,1.302364219,4
49,-2.74E-10,-9.55E-12,1
50,-189.918203,5.070657023,4
51,119.0229204,41.17198171,3
52,-175.1491524,-0.845960722,4
53,176.1292424,3.865657019,3
54,-194.5273267,0.952015857,4
55,96.49845029,14.40241311,2
56,57.19682677,16.43892229,2
57,141.7322788,28.24928565,1
58,112.031955,-33.99520111,1
59,114.0731931,-24.68988798,1
60,132.0853297,-70.97969334,3
61,-101.0897702,-8.400420914,4
62,111.1439347,-6.765085006,2
63,126.7596937,40.58723247,3
64,-183.2787377,-3.125060329,4
