,x,y,IncomeGroup
0,193.1356406,-8.004023779,1
1,82.01280538,16.24578838,2
2,-2.11E-15,1.20E-17,3
3,-137.9041414,-3.264375551,4
4,-46.04786581,22.3137431,3
5,35.35426477,-17.07572709,2
6,-172.4021527,-11.68485345,4
7,-151.0905671,5.646126109,4
8,101.2033282,-59.57613241,3
9,68.67068652,-33.82634541,1
10,-203.3701995,6.871982645,4
11,72.12975383,-32.38102588,1
12,45.98691151,11.60553152,1
13,73.06059689,41.97034916,2
14,-78.49323472,19.89139313,3
15,-62.35986523,-57.61570573,4
16,-33.33877523,-25.87670164,4
17,15.87318823,25.74490832,3
18,46.95615275,-11.1468729,3
19,97.39871082,-10.80108233,2
20,-36.79788551,22.29982487,3
21,-2.11E-15,1.20E-17,4
22,148.7810345,-14.44403245,2
23,96.04308587,7.420230706,3
24,123.729834,-43.64291744,1
25,-180.1679685,8.054206198,4
26,-176.9824871,-10.50152411,4
27,-99.10121542,-1.648518881,4
28,-134.9075612,-0.972121851,3
29,14.60291836,43.10259412,2
30,141.1622287,35.43252936,2
31,205.6513191,0.388284384,1
32,188.4239992,13.5498971,2
33,44.36052906,-23.73706339,3
34,113.7135128,-51.88001961,1
35,31.94578853,15.70524744,3
36,177.3258142,-14.40413695,3
37,-53.00887022,-9.306397404,4
38,-136.0706909,-3.54763875,4
39,-210.4780457,-0.737974738,4
40,175.6304641,1.727321491,2
41,-172.2536864,1.913418091,4
42,-21.56155083,2.80248753,3
43,41.60102095,-20.72583067,3
44,23.67034484,8.833010406,3
45,-41.09798724,-22.62230176,2
46,180.7748649,23.14824235,1
47,-164.8217653,0.700191031,4
48,-112.1648944,-18.33609816,4
49,64.74398946,26.48343582,1
50,-148.258023,-22.68170492,4
51,77.00018954,-4.298826717,3
52,-181.100051,3.038341317,4
53,166.7626073,-13.63443291,3
54,-199.5286296,0.029078166,4
55,87.65295243,31.89537329,2
56,51.79606643,9.052828591,2
57,107.0939201,25.83238446,1
58,159.613793,-11.90039344,1
59,115.1536501,-24.77956368,1
60,132.8909227,13.11578298,3
61,-88.41217518,-19.23021455,4
62,-3.418900585,-4.790340166,2
63,104.4036555,-23.20365607,3
64,-176.2124154,-0.230027318,4
65,57.62223567,-33.27685383,2
66,-62.65558519,-8.196209091,3
67,160.7980114,-3.94265102,1
68,-129.1372773,24.28286557,4
69,-66.99989559,5.727463578,2
70,-69.09644136,8.301290027,2
71,-180.2345225,2.380306307,4
72,-2.11E-15,1.20E-17,3
73,150.8811195,20.7502797,3
74,-114.8082203,-19.31674846,4
75,-93.02920347,27.55887918,4
76,-160.6422023,5.497440756,4
77,-13.39996226,-24.13950576,3
78,-23.20788256,8.310368923,2
79,-185.6200936,3.557489294,4
80,32.36451436,41.1750389,3
81,3.450420925,75.34665417,2
82,173.5389216,-9.104710285,2
83,13.90440611,-38.11625892,2
84,-154.2512616,-2.388796527,4
85,-52.71088309,7.567689022,4
86,125.0822594,-29.71470031,2
87,26.44076549,24.20289689,3
88,51.20087943,-44.04677616,1
89,91.90466452,5.318608294,3
90,33.22941633,11.75112453,2
91,128.9157787,-12.83280838,2
92,-87.41185862,-0.520309011,4
93,-188.8410811,3.587922316,4
94,-120.6941351,15.2103791,4
95,-2.11E-15,1.20E-17,2
96,47.42962967,-24.00878185,2
97,128.2402755,36.71231447,1
98,13.42589538,-69.89687612,3
99,-75.81855347,14.24128315,3
100,90.35878502,-5.460119525,3
101,94.31090906,26.57875699,1
102,-72.86278849,-26.00488471,4
103,161.263322,24.39332891,2
104,-17.98356995,-17.07685625,3
105,135.2874523,-19.42322728,2
106,167.0128352,-7.952162712,1
107,161.4479842,7.33479566,2
108,88.52022353,1.943192134,3
109,-1.083240277,-32.98018671,1
110,-148.8259103,-3.838831814,3
111,40.60825253,23.277054,3
112,122.6599857,-19.19218332,1
113,4.392696487,50.14470352,2
114,43.81842624,1.391822123,2
115,-203.4617506,-0.769908205,4
116,-186.1628489,-5.567111419,4
117,67.45887568,27.97074222,1
118,-152.770811,-27.9679235,4
119,-46.27033921,-4.783387368,4
120,-9.268298438,-49.9011614,2
121,-88.03134238,1.823787901,3
122,-13.17779768,15.54453208,3
123,-50.89575982,-29.64689087,2
124,119.3780105,-21.63804479,2
125,-135.3670973,15.03294285,4
126,-142.2055298,0.290420515,4
127,1.526288746,18.19460222,3
128,-137.0098036,-0.201703718,4
129,-98.97873385,27.1566179,3
130,30.81055766,33.43274057,3
