,x,y,IncomeGroup
0,140.3079583,-10.69090509,1
1,137.9831582,-38.42471734,2
2,5.030697653,35.30030384,3
3,-166.4600388,2.579420838,4
4,-64.30644906,11.83487057,3
5,69.55661676,21.17331554,2
6,-158.876649,-2.283896086,4
7,-178.1155698,-14.25594919,4
8,89.92547643,51.95784468,3
9,206.3342522,-1.521833289,1
10,-189.559737,0.151832456,4
11,-18.02537262,15.56887276,1
12,138.920472,-14.52123588,1
13,-1.08E-15,6.18E-17,2
14,-99.57387014,-4.585981764,3
15,-67.02069491,-3.678675291,4
16,1.66321611,-31.47797292,4
17,-59.02786518,12.68406762,3
18,52.59217877,-10.39279314,3
19,48.85246803,-4.150638653,2
20,-81.09962629,19.94455166,3
21,-1.08E-15,6.18E-17,4
22,80.88044492,3.876582203,2
23,-16.72173675,-17.46617188,3
24,60.53480989,9.475379256,1
25,-174.6578086,8.487600743,4
26,-165.5964704,-13.10310187,4
27,-94.96860254,-12.78479142,4
28,-134.6469026,0.462025248,3
29,18.40427895,38.85366107,2
30,75.85142325,15.66326761,2
31,161.9248536,-7.403615776,1
32,165.8552225,30.28789708,2
33,-29.20163147,-2.625289009,3
34,169.3724228,1.659267845,1
35,6.832848847,8.543770353,3
36,161.5578715,-19.25022798,3
37,-104.3318607,-6.995828728,4
38,-85.24646305,-13.97025534,4
39,-196.5822124,0.710808254,4
40,203.1636407,-1.034568718,2
41,-194.2627896,-0.404151461,4
42,19.86949506,-21.43079922,3
43,114.4255026,17.67133946,3
44,7.911648053,25.21099113,3
45,-54.44425467,-2.434983152,2
46,171.0293042,11.3350226,1
47,-154.5393887,4.986043637,4
48,-24.88150276,0.357353251,4
49,158.1423257,-6.816652157,1
50,-197.8758882,-6.914713445,4
51,111.5979669,37.71821904,3
52,-173.6664275,-2.905781896,4
53,131.2785278,30.60526948,3
54,-179.4601061,1.986105572,4
55,0.917222247,-57.81954662,2
56,83.21102997,-8.577071011,2
57,89.97900237,-41.32863532,1
58,93.27239544,-3.552482207,1
59,52.12989532,-33.42871984,1
60,-1.08E-15,6.18E-17,3
61,-15.04729102,9.603134946,4
62,-9.781057529,-4.035058991,2
63,136.4210884,-17.52660932,3
64,-199.9511876,2.015583421,4
65,72.88290126,-8.037733245,2
66,-87.05293226,-12.15164477,3
67,182.9100577,16.46739417,1
68,-91.50249304,-10.88775824,4
69,-42.84159247,31.08141883,2
70,-76.55783412,3.831413564,2
71,-136.2210548,-3.90641781,4
72,90.93596051,-17.34623706,3
73,164.3361593,20.06272241,3
74,-119.9644589,-17.27669432,4
75,-1.08E-15,6.18E-17,4
76,-151.0110813,7.499672653,4
77,113.3579294,12.00169395,3
78,66.16232579,15.17851949,2
79,-184.5092835,3.162530874,4
80,22.73009647,-41.36446624,3
81,111.0684529,21.15107082,2
82,115.0260691,-47.37912273,2
83,67.50541033,14.28543332,2
84,-154.4792598,4.128809304,4
85,-14.52282478,-24.49176182,4
86,83.09197651,-20.99416361,2
87,60.17987038,32.05367835,3
88,103.1368552,8.859455809,1
89,142.3302888,5.926805299,3
90,3.907138945,-19.85777014,2
91,154.2579523,-2.199273045,2
92,-44.51485834,15.72255542,4
93,-170.7869093,8.437036368,4
94,1.58338803,-14.98496051,4
95,-66.55333724,4.934473642,2
96,130.3383878,-6.687542078,2
97,17.31021901,-22.64728346,1
98,71.48452808,-2.432074587,3
99,-73.95553244,6.268008445,3
100,65.35027892,-13.24989529,3
101,-1.08E-15,6.18E-17,1
102,-92.00138522,10.09100277,4
103,126.7327553,-11.5963142,2
104,98.34920945,-3.54649879,3
105,148.3637445,28.76754145,2
106,-1.08E-15,6.18E-17,1
107,117.1206678,-26.41156974,2
108,-8.781618221,3.922508796,3
109,-12.39827463,-12.53658909,1
110,-133.354695,1.697658957,3
111,29.98165906,-65.4204037,3
112,24.53640443,-12.27363338,1
113,106.273119,23.04402978,2
114,-1.08E-15,6.18E-17,2
115,-194.6824598,-1.198017456,4
116,-154.4119339,2.45036928,4
117,182.7036915,-18.89736754,1
118,-123.7980695,-17.16660879,4
119,-26.5855722,-37.49144536,4
120,-16.47529166,-25.48591271,2
121,-39.67477129,5.657122222,3
122,-44.08836804,-2.184239995,3
123,-61.65992747,0.027044128,2
124,122.1081328,35.57643034,2
125,-128.0078976,11.15918481,4
126,-135.6614677,4.600266552,4
127,88.21807384,-25.35748196,3
128,-110.3068168,0.958391689,4
129,-54.4736624,33.1744304,3
130,58.85736013,26.70546538,3
131,151.8316363,9.603755467,1
132,-97.89146609,10.0608586,4
133,169.8301667,-20.83475165,2
134,82.73233047,-31.96167057,1
135,-202.9359809,1.161914597,4
136,110.8665088,11.82927764,2
137,167.7265724,-16.22758461,1
138,53.37970729,13.00923904,2
139,-1.08E-15,6.18E-17,1
140,-7.818691257,6.398955972,3
141,89.79834229,-9.137061782,2
142,-65.85080502,-9.305097622,4
143,-110.4172755,-4.736188731,4
144,-174.0255729,-0.875228348,4
145,53.40068904,12.43534089,2
146,183.614296,6.825983209,1
147,61.0953357,3.529677873,1
148,-96.28309281,5.246623425,3
149,140.1439818,-39.33278922,2
150,-1.08E-15,6.18E-17,3
151,-1.08E-15,6.18E-17,2
152,-1.08E-15,6.18E-17,4
153,-90.42531302,-1.374154773,2
154,-133.9034151,1.918009817,3
155,-158.2738169,6.991788737,4
156,40.50737832,31.51117279,1
157,-1.08E-15,6.18E-17,1
158,-22.6971544,11.53778448,2
159,-54.92201384,-29.48480046,4
160,-185.2917682,2.115255025,4
161,98.74866365,11.80884283,2
162,91.35311396,44.57656009,3
163,-57.04955735,30.91585013,2
164,-26.75607972,35.05955476,2
165,-152.5369786,5.403710077,3
166,-1.08E-15,6.18E-17,2
167,71.9545973,34.99516655,1
