x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6
203.0413772,-2.671947336,0.754568863,-150.7349463,-8.500073407,-26.05262103,140.3079583,-10.69090509,-10.81848361,193.1356406,-8.004023779,-6.210937666,-165.9298036,-8.000441528,-18.83765823,204.1240881,-4.493180273,-2.5230815
31.03839911,-15.78179679,-7.513138359,-153.1933649,0.364688685,17.27741759,137.9831582,-38.42471734,-8.99793017,82.01280538,16.24578838,30.63546657,-148.0543432,-8.763314872,14.18598064,192.1986503,-13.70986041,-9.750779393
133.9146899,-40.61130954,-16.85140789,-101.0927248,9.563891793,0.911868996,5.030697653,35.30030384,-1.994834924,-2.11E-15,1.20E-17,-6.20E-17,-100.5953879,-30.19895248,-16.20277207,30.07664862,-38.1638067,-9.485291836
-152.6402539,0.965313758,-2.091244268,146.1385724,15.47871779,-3.299925919,-166.4600388,2.579420838,0.130995184,-137.9041414,-3.264375551,-14.4448932,178.5276301,4.045819694,-7.003773952,-189.0235742,-9.656291692,-4.448737156
-75.34593463,2.678544615,2.607774882,78.49128515,5.56688226,11.2675231,-64.30644906,11.83487057,28.94601044,-46.04786581,22.3137431,2.371334542,40.57513411,-5.521845012,21.32916505,-37.43909185,-22.48438827,-8.216849779
137.8071213,11.36205347,6.067484086,-75.71405766,-31.29623406,21.4384057,69.55661676,21.17331554,3.267222723,35.35426477,-17.07572709,0.544630286,-158.7801966,6.241527454,17.41532161,42.80791125,10.36305782,9.873604081
-158.2623936,-0.420677631,4.324906272,167.7941801,16.44601705,5.861846223,-158.876649,-2.283896086,-8.855643965,-172.4021527,-11.68485345,-2.805302637,163.6663993,0.896881966,3.146347102,-161.4399736,22.2022134,-5.165589769
-186.897766,3.898748297,-2.198949933,159.5672425,19.36996424,5.773001894,-178.1155698,-14.25594919,11.81661382,-151.0905671,5.646126109,-16.2382691,195.4509237,-7.021567583,3.828338544,-197.7148991,-5.428992425,5.254719254
89.19463244,-16.21593455,4.137398607,-39.99884104,40.04078613,15.66948534,89.92547643,51.95784468,-24.14970611,101.2033282,-59.57613241,3.555432691,3.39E-15,2.38E-16,-6.94E-17,-4.18E-18,-2.09E-18,1.15E-18
72.67556146,-65.23078201,-4.682229106,-1.13E-15,-6.45E-17,-1.42E-16,206.3342522,-1.521833289,-0.693066667,68.67068652,-33.82634541,-10.27471068,-76.06062526,-65.38886395,8.840324884,179.149823,-9.038120049,10.42063336
-168.4869406,4.89492627,-1.782898966,181.6708194,-8.880254095,-3.39401379,-189.559737,0.151832456,2.235504298,-203.3701995,6.871982645,4.699538996,197.7158581,-9.477112553,-2.313554458,-199.6186729,-12.83718754,-2.686720918
51.98385937,6.207562932,82.1072726,9.88455843,-27.87769957,-1.104968452,-18.02537262,15.56887276,-55.71998615,72.12975383,-32.38102588,6.203308619,-93.80964575,9.312910062,11.37117398,1.545356484,-6.565896346,-24.2356342
106.6624477,-33.53292435,25.592651,-137.0003741,-21.27680605,-28.85599617,138.920472,-14.52123588,1.766402664,45.98691151,11.60553152,-6.323335537,-7.286560169,11.87585055,6.079861666,41.63571865,-34.27718884,4.59730197
42.2143554,37.24817365,3.797935214,-6.673171982,15.00756392,19.52805985,-1.08E-15,6.18E-17,3.46E-17,73.06059689,41.97034916,33.69723856,-22.49507583,15.59016795,-4.972740543,57.04232771,-2.926653878,5.518665898
-55.54552823,18.79875569,14.64804185,22.02915917,26.62365552,-14.72101456,-99.57387014,-4.585981764,9.809870497,-78.49323472,19.89139313,21.23016711,8.282809168,-29.04744152,-1.419410473,-69.9445629,-4.535433019,16.68260672
