LP.LPI.CUST.RK	LP.LPI.CUST.XQ	LP.LPI.INFR.RK	LP.LPI.INFR.XQ	LP.LPI.ITRN.RK	LP.LPI.ITRN.XQ	LP.LPI.LOGS.RK	LP.LPI.LOGS.XQ	LP.LPI.OVRL.RK	LP.LPI.OVRL.RK.ZS	LP.LPI.OVRL.XQ	LP.LPI.TIME.RK	LP.LPI.TIME.XQ	LP.LPI.TRAC.RK	LP.LPI.TRAC.XQ
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
21.0	3.51079	15.0	3.8235300000000003	18.0	3.62963	18.0	3.75969	18.0	86.5703289946736	3.76188416765287	23.0	4.02459	16.0	3.87097
92.0	2.25	69.0	2.4	147.0	1.66667	136.0	2.0	134.0	34.4732987578693	2.09981397959092	136.0	2.33333	134.0	2.0
13.0	3.739	10.0	4.04938	6.0	3.85209	7.0	4.01954	9.0	93.8259157990666	3.9933617484221102	11.0	4.24815	6.0	4.1
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
129.0	2.0	91.0	2.25	115.0	2.25	146.0	1.75	125.0	36.428849478409994	2.16220261362782	133.0	2.5	110.0	2.25
61.0	2.5	75.0	2.33333	85.0	2.5	68.0	2.66667	62.0	53.7509373161598	2.71483537713179	45.0	3.5	59.0	2.83333
89.0	2.25	76.0	2.33333	69.0	2.66667	46.0	3.0	77.0	47.5825444725607	2.51804293412689	132.0	2.5	99.0	2.33333
111.0	2.1428599999999998	89.0	2.25	120.0	2.22222	132.0	2.0	116.0	40.046760042040795	2.2776261082791	94.0	2.8571400000000002	114.0	2.22222
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
31.0	3.05882	35.0	3.05	37.0	3.11111	28.0	3.33333	29.0	73.90920403822491	3.3579517699367702	16.0	4.125	27.0	3.52941
87.0	2.26667	104.0	2.13333	73.0	2.61538	79.0	2.5	75.0	47.9290677776305	2.5290981910620203	64.0	3.23077	90.0	2.42857
134.0	1.95455	142.0	1.7826099999999998	144.0	1.8	137.0	1.95	141.0	32.8495509352221	2.0480109720742603	129.0	2.5	98.0	2.35
7.0	3.8430199999999997	9.0	4.05952	7.0	3.78205	9.0	3.99346	8.0	94.14434579481821	4.0035207344625405	7.0	4.330769999999999	8.0	4.06122
65.0	2.48387	79.0	2.32258	93.0	2.48276	91.0	2.40741	80.0	46.965367588392496	2.4983529192589704	92.0	2.88462	91.0	2.40741
78.0	2.3571400000000002	61.0	2.5	66.0	2.69231	54.0	2.83333	63.0	53.712910945409696	2.71362220822567	48.0	3.45455	87.0	2.4615400000000003
121.0	2.08333	103.0	2.13636	122.0	2.2	122.0	2.10526	123.0	37.9728791415669	2.21146234419119	125.0	2.6	121.0	2.15789
34.0	3.0	33.0	3.11765	42.0	3.0666700000000002	37.0	3.07143	35.0	67.5218514157358	3.1541737747953396	34.0	3.69231	44.0	3.0
44.0	2.72727	45.0	2.83333	44.0	3.04762	50.0	2.90476	43.0	62.9932274890687	3.00969546600798	58.0	3.2777800000000004	33.0	3.3
47.0	2.69118	42.0	2.90476	40.0	3.07813	31.0	3.26563	39.0	64.9120925340134	3.07091370381578	47.0	3.4745800000000004	42.0	3.03333
10.0	3.8181800000000004	19.0	3.71875	11.0	3.7586199999999996	11.0	3.9310300000000002	11.0	91.3334911523058	3.91384503350492	9.0	4.32	14.0	3.9615400000000003
62.0	2.5	66.0	2.44444	78.0	2.5882400000000003	66.0	2.6875	78.0	47.3184964772064	2.50961891649477	106.0	2.8	125.0	2.0
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
43.0	2.73333	37.0	3.0	31.0	3.26667	32.0	3.23077	33.0	69.14019389601499	3.2058043337412103	41.0	3.58333	29.0	3.4615400000000003
29.0	3.1871	23.0	3.51948	21.0	3.5673800000000004	21.0	3.62857	22.0	80.7169986610924	3.57514327658666	27.0	3.9296900000000003	21.0	3.6569300000000005
80.0	2.3529400000000003	113.0	2.03226	126.0	2.13333	125.0	2.07143	118.0	39.0774757510808	2.24670268488167	119.0	2.65385	112.0	2.24138
54.0	2.61538	56.0	2.61538	39.0	3.08333	41.0	3.0	52.0	59.238891191479595	2.8899195323737903	68.0	3.16667	57.0	2.84615
11.0	3.7864800000000005	6.0	4.106380000000001	10.0	3.76557	5.0	4.11985	6.0	94.7722848433264	4.02355409850846	6.0	4.34454	7.0	4.07605
139.0	1.9090900000000002	137.0	1.8636400000000002	129.0	2.09524	126.0	2.04762	133.0	35.1776276369452	2.1222844357221398	120.0	2.65	116.0	2.19048
81.0	2.33333	100.0	2.15385	60.0	2.78571	104.0	2.30769	76.0	47.683534143930395	2.52126484373138	89.0	2.91667	73.0	2.61538
102.0	2.2	112.0	2.05882	106.0	2.3529400000000003	100.0	2.3529400000000003	103.0	42.304482169478	2.34965502478134	109.0	2.76471	95.0	2.375
104.0	2.19048	81.0	2.3	95.0	2.47368	82.0	2.47368	81.0	46.9507450732432	2.49788641192844	74.0	3.0526299999999997	81.0	2.52632
27.0	3.22388	25.0	3.44444	24.0	3.44262	22.0	3.6271199999999997	25.0	78.99086429040999	3.5200737944096696	30.0	3.8571400000000002	25.0	3.5593199999999996
59.0	2.5	46.0	2.83333	76.0	2.6	47.0	3.0	44.0	62.2230130195545	2.9851230383211296	32.0	3.75	32.0	3.33333
120.0	2.08333	120.0	2.0	103.0	2.4	106.0	2.28571	117.0	39.2664584375564	2.25273186711765	102.0	2.83333	139.0	1.8888900000000002
107.0	2.16667	102.0	2.1428599999999998	88.0	2.5	93.0	2.4	98.0	42.921516897398206	2.36934050438763	115.0	2.66667	101.0	2.33333
72.0	2.4	101.0	2.1428599999999998	57.0	2.83333	127.0	2.0	105.0	41.1940801371374	2.3142294716101097	134.0	2.42857	132.0	2.0
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
91.0	2.25	105.0	2.13333	112.0	2.30769	84.0	2.45455	92.0	43.870354523211795	2.3996116105141803	113.0	2.69231	75.0	2.58333
73.0	2.4	115.0	2.0	89.0	2.5	115.0	2.2	108.0	40.8743051900565	2.3040275771064103	98.0	2.83333	140.0	1.83333
52.0	2.63636	80.0	2.3	48.0	3.0	64.0	2.7	58.0	55.736826903997795	2.77819192290272	50.0	3.4	74.0	2.6
15.0	3.66667	13.0	3.8571400000000002	45.0	3.0	33.0	3.22222	23.0	79.5174212482051	3.53687272935643	25.0	4.0	26.0	3.55556
58.0	2.53333	58.0	2.5625	29.0	3.3125	48.0	2.94118	42.0	63.1916393058451	3.0160254691602497	35.0	3.6875	41.0	3.05882
101.0	2.2	77.0	2.33333	64.0	2.75	119.0	2.125	94.0	43.365452984289504	2.38350355614073	95.0	2.8571400000000002	130.0	2.0
110.0	2.1428599999999998	128.0	1.9375	105.0	2.3571400000000002	112.0	2.21429	106.0	41.106292269670895	2.31142874387714	111.0	2.72727	86.0	2.5
93.0	2.23529	107.0	2.125	117.0	2.25	131.0	2.0	120.0	38.9737102023156	2.2433922154678396	116.0	2.66667	117.0	2.1875
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
63.0	2.4952400000000003	53.0	2.68	54.0	2.90909	57.0	2.79787	56.0	58.553541448378105	2.8680545744054102	51.0	3.4	48.0	2.9578900000000004
126.0	2.0	83.0	2.28571	70.0	2.66667	101.0	2.33333	90.0	44.952750923441	2.4341436899879803	99.0	2.83333	84.0	2.5
106.0	2.17391	132.0	1.9047599999999998	119.0	2.22727	114.0	2.21053	109.0	40.5606250857087	2.29402012855023	93.0	2.88235	92.0	2.38095
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
124.0	2.07143	145.0	1.6875	146.0	1.73333	135.0	2.0	147.0	27.0203275773673	1.8620391744764702	147.0	2.08333	149.0	1.5714299999999999
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
131.0	2.0	129.0	1.91667	91.0	2.5	144.0	1.8	136.0	34.0059877573677	2.0849051896089	142.0	2.25	136.0	2.0
94.0	2.23077	110.0	2.07692	118.0	2.25	99.0	2.36364	110.0	40.5545557800262	2.29382649732036	101.0	2.83333	129.0	2.0
70.0	2.4	96.0	2.2	77.0	2.6	65.0	2.7	67.0	51.1051158628752	2.6304247890339503	72.0	3.1	62.0	2.8
130.0	2.0	84.0	2.28571	121.0	2.2	147.0	1.75	132.0	35.475917412157	2.1318008811035702	137.0	2.33333	111.0	2.25
90.0	2.25	106.0	2.125	81.0	2.55556	76.0	2.55556	91.0	44.49478648344339	2.4195330866685096	79.0	3.0	126.0	2.0
23.0	3.3555599999999997	28.0	3.3255800000000004	26.0	3.36364	26.0	3.40476	27.0	77.74208549344858	3.48023355782652	26.0	3.94737	28.0	3.5116300000000003
114.0	2.1428599999999998	118.0	2.0	125.0	2.1428599999999998	142.0	1.83333	126.0	36.3210235386061	2.15876260410649	83.0	3.0	142.0	1.83333
145.0	1.66667	149.0	1.4	145.0	1.8	134.0	2.0	143.0	30.4627305048666	1.97186338624223	85.0	3.0	133.0	2.0
96.0	2.22727	92.0	2.2340400000000002	92.0	2.48837	96.0	2.38095	93.0	43.76692095610379	2.3963117324298797	114.0	2.69048	97.0	2.3555599999999997
112.0	2.1428599999999998	138.0	1.8620700000000001	124.0	2.17857	92.0	2.40741	122.0	38.0507841704676	2.2139477761908104	131.0	2.5	118.0	2.18519
1.0	3.99225	1.0	4.2903199999999995	1.0	4.048780000000001	1.0	4.25	2.0	99.60378414825041	4.177695148811241	5.0	4.38235	4.0	4.13636
12.0	3.7575800000000004	16.0	3.8214300000000003	19.0	3.62069	17.0	3.7777800000000004	16.0	88.0682217198233	3.8096719749821903	12.0	4.24	20.0	3.66667
141.0	1.83333	144.0	1.7692299999999999	131.0	2.09091	124.0	2.08333	130.0	35.6574773292706	2.13759325207385	110.0	2.75	102.0	2.33333
18.0	3.5652199999999996	22.0	3.6087	9.0	3.77273	16.0	3.8181800000000004	19.0	86.14020845213379	3.74816187815232	22.0	4.047619999999999	19.0	3.6818199999999996
46.0	2.71429	43.0	2.8571400000000002	79.0	2.57143	67.0	2.66667	48.0	60.2824891507969	2.92321381131098	24.0	4.0	63.0	2.8
69.0	2.40909	71.0	2.36842	65.0	2.72222	63.0	2.70588	68.0	50.733018052907106	2.61855361952237	88.0	2.92857	76.0	2.57143
48.0	2.6842099999999998	48.0	2.78947	58.0	2.8	60.0	2.73333	54.0	59.2011933974466	2.8887168461682005	49.0	3.4285699999999997	49.0	2.9333299999999998
49.0	2.68182	57.0	2.57143	53.0	2.91304	61.0	2.72727	59.0	55.431644678840506	2.76845558522561	80.0	3.0	67.0	2.7
53.0	2.63636	87.0	2.26087	63.0	2.77273	70.0	2.65217	65.0	52.9486074518646	2.6892383605192203	70.0	3.1428599999999998	69.0	2.65217
127.0	2.0	123.0	2.0	80.0	2.57143	105.0	2.28571	95.0	43.27853337654199	2.38073052880811	69.0	3.1428599999999998	106.0	2.28571
38.0	2.88462	51.0	2.69231	52.0	2.92308	38.0	3.04	40.0	63.8805063520434	3.03800264090729	40.0	3.59091	40.0	3.12
26.0	3.24	32.0	3.16	33.0	3.22727	34.0	3.19048	28.0	74.61932131542709	3.38060689540363	21.0	4.05882	30.0	3.44444
100.0	2.2	63.0	2.47059	113.0	2.29412	73.0	2.625	71.0	49.1924120569949	2.5694031154395898	63.0	3.23077	68.0	2.66667
67.0	2.44444	55.0	2.625	46.0	3.0	43.0	3.0	46.0	61.9472988482705	2.97632683050593	38.0	3.66667	38.0	3.16667
56.0	2.6	50.0	2.73333	35.0	3.2	52.0	2.8571400000000002	51.0	59.7780379151995	2.9071201231255603	66.0	3.18182	56.0	2.8571400000000002
137.0	1.93966	93.0	2.23009	94.0	2.47917	83.0	2.45745	99.0	42.891451276541794	2.3683813101325297	86.0	2.94253	119.0	2.17391
143.0	1.8	148.0	1.5333299999999999	148.0	1.66667	148.0	1.66667	148.0	24.2864160681846	1.77481821782006	135.0	2.38462	148.0	1.6
45.0	2.72059	38.0	2.95385	50.0	2.9322	51.0	2.87931	41.0	63.285552660505196	3.0190216205019396	39.0	3.65455	43.0	3.0178599999999998
79.0	2.3571400000000002	73.0	2.3571400000000002	68.0	2.66667	55.0	2.83333	64.0	53.624526362195205	2.71080244325678	67.0	3.16667	51.0	2.91667
76.0	2.375	108.0	2.09091	130.0	2.09091	62.0	2.72727	101.0	42.8319669734433	2.36648356113631	123.0	2.625	103.0	2.3
3.0	3.89744	2.0	4.26957	2.0	4.0354	2.0	4.21495	1.0	100.0	4.19033576483555	1.0	4.5294099999999995	1.0	4.24771
144.0	1.72727	126.0	2.0	104.0	2.36364	123.0	2.1	138.0	33.9517555743338	2.08317500087752	139.0	2.3	131.0	2.0
149.0	1.58333	140.0	1.83333	143.0	1.81818	140.0	1.9090900000000002	144.0	29.914228708292605	1.9543643372553603	121.0	2.63636	135.0	2.0
75.0	2.375	68.0	2.42105	61.0	2.77778	78.0	2.52941	66.0	52.095097082077	2.6620085139353	73.0	3.0625	61.0	2.82353
68.0	2.42857	147.0	1.625	141.0	1.875	110.0	2.25	127.0	36.320725606349605	2.1587530990671597	81.0	3.0	144.0	1.75
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
60.0	2.5	95.0	2.2	25.0	3.4	39.0	3.0	57.0	58.2771301156139	2.8592361247981803	76.0	3.0	45.0	3.0
55.0	2.6087	52.0	2.68182	38.0	3.08696	40.0	3.0	50.0	60.1383427152201	2.91861505602304	60.0	3.26087	55.0	2.86957
40.0	2.78571	29.0	3.22222	36.0	3.1428599999999998	36.0	3.09091	37.0	67.1182468440249	3.1412974337955295	33.0	3.72727	52.0	2.90909
6.0	3.84615	5.0	4.11321	5.0	3.89796	6.0	4.06122	4.0	96.39685836394159	4.0753834485627	4.0	4.43182	3.0	4.15217
108.0	2.16667	131.0	1.9090900000000002	138.0	2.0	145.0	1.8	135.0	34.1414788352755	2.08922780992556	118.0	2.66667	137.0	2.0
133.0	2.0	141.0	1.8	142.0	1.83333	143.0	1.81818	142.0	30.820751441332398	1.9832854562239	127.0	2.55556	138.0	1.9090900000000002
117.0	2.1	90.0	2.25	101.0	2.4	94.0	2.4	119.0	39.0492573102148	2.2458024218704398	145.0	2.11111	115.0	2.2
32.0	3.02632	31.0	3.1621599999999996	32.0	3.24324	29.0	3.30556	31.0	72.4514385318511	3.31144415561949	28.0	3.9117599999999997	36.0	3.25
140.0	1.9090900000000002	125.0	2.0	136.0	2.0	141.0	1.9	146.0	29.254708840594898	1.93332343904001	146.0	2.11111	146.0	1.66667
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
147.0	1.625	146.0	1.66667	149.0	1.5	149.0	1.6	149.0	22.3103080219452	1.7117737360690901	141.0	2.25	147.0	1.66667
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
39.0	2.83333	44.0	2.83333	55.0	2.8571400000000002	88.0	2.42857	60.0	55.3051528575491	2.76442007141136	105.0	2.8	60.0	2.83333
33.0	3.0	39.0	2.9375	41.0	3.07143	30.0	3.28571	34.0	67.5338878788985	3.15455777838444	52.0	3.3846199999999995	34.0	3.26667
25.0	3.25	21.0	3.6222199999999996	16.0	3.65217	23.0	3.57778	21.0	82.77318238553	3.64074244133812	15.0	4.175	24.0	3.60465
123.0	2.07143	122.0	2.0	132.0	2.08333	138.0	1.91667	137.0	33.9683206077954	2.0837034810645	140.0	2.27273	120.0	2.16667
99.0	2.21429	99.0	2.16667	98.0	2.41667	77.0	2.54545	83.0	46.7194543038741	2.4905074597925	56.0	3.28571	100.0	2.33333
97.0	2.22222	74.0	2.3529400000000003	83.0	2.52941	90.0	2.4117599999999997	73.0	48.7080550752462	2.55395050142138	55.0	3.3125	80.0	2.52941
86.0	2.28571	70.0	2.38095	100.0	2.4	85.0	2.45	79.0	47.284052954649496	2.50852005247596	82.0	3.0	77.0	2.57143
19.0	3.51919	7.0	4.07113	20.0	3.5817	14.0	3.8452900000000003	14.0	89.1339254013381	3.84367150068073	18.0	4.1144300000000005	10.0	4.0092
136.0	1.94118	124.0	2.0	133.0	2.0666700000000002	118.0	2.15385	129.0	36.2578278508265	2.15674644947742	112.0	2.72727	123.0	2.07692
77.0	2.36735	59.0	2.51064	67.0	2.69048	74.0	2.59091	69.0	50.7310465926041	2.61849072331924	75.0	3.025	79.0	2.5365900000000003
